Date,R001
20180901,58917.8366
20180902,48995.3464
20180903,36185.5732
20180904,36402.4808
20180905,33679.4066
20180906,37567.306
20180907,41622.8421
20180908,54534.3785
20180909,42430.6701
20180910,38455.0908
20180911,37990.4245
20180912,36964.5325
20180913,39871.5982
20180914,52439.8903
20180915,59577.8932
20180916,49121.9309
20180917,41496.2576
20180918,34121.4405
20180919,33312.4974
20180920,38483.0509
20180921,47600.5215
20180922,59328.5651
20180923,49248.7632
20180924,29868.4078
20180925,30552.914
20180926,35742.8372
20180927,33794.7988
20180928,49167.1544
20180929,61477.0737
20180930,46204.5815
20181001,30347.5704
20181002,31602.0166
20181003,34999.6437
20181004,35051.3513
20181005,49468.6031
20181006,59069.9858
20181007,47247.613
20181008,30854.3627
20181009,31897.8072
20181010,34808.1356
20181011,34426.1106
20181012,53619.8313
20181013,67660.5097
20181014,50705.9511
20181015,31674.7459
20181016,31438.3447
20181017,36022.8925
20181018,34219.1563
20181019,51381.2887
20181020,64825.1408
20181021,51474.9158
20181022,30670.9494
20181023,32853.737
20181024,34776.8715
20181025,33127.8038
20181026,49527.373
20181027,58963.4318
20181028,44518.922
20181029,28309.1263
20181030,31576.5345
20181031,53065.5027
20181101,52540.2493
20181102,49512.6702
20181103,57958.8919
20181104,47592.1376
20181105,29114.022
20181106,32968.6749
20181107,32757.3015
20181108,35537.2045
20181109,49788.0586
20181110,66459.8774
20181111,50246.9842
20181112,32472.4554
20181113,38109.6989
20181114,35287.7525
20181115,34986.8407
20181116,55063.8445
20181117,65447.3253
20181118,51554.2118
20181119,30296.7714
20181120,34636.4102
20181121,33960.99
20181122,36710.9505
20181123,53312.1463
20181124,66806.1779
20181125,54437.7365
20181126,29566.1744
20181127,32714.7212
20181128,35161.8701
20181129,35148.6541
20181130,51903.8989
20181201,70014.3206
20181202,51518.5699
20181203,30642.2046
20181204,33324.1027
20181205,38734.2375
20181206,41824.3861
20181207,55209.2618
20181208,63570.7359
20181209,52030.0704
20181210,36767.8206
20181211,33349.9978
20181212,35959.5796
20181213,37647.9649
20181214,50453.8972
20181215,69252.1291
20181216,49375.9672
20181217,35440.4799
20181218,36038.5039
20181219,38974.6861
20181220,44482.0824
20181221,54307.5589
20181222,67967.7817
20181223,48940.7065
20181224,17049.6725
20181225,23024.5435
20181226,45902.5546
20181227,43492.7822
20181228,54696.8527
20181229,59739.2936
20181230,50670.97
