Date,R005
20190721,22239.8435
20190722,20028.3524
20190723,18027.9869
20190724,16697.5487
20190725,20505.9043
20190726,26678.148
20190727,28774.8251
20190728,26628.4641
20190729,18438.2611
20190730,18225.0292
20190731,20710.1741
20190801,20737.2669
20190802,25090.9477
20190803,24290.7602
20190804,19904.122
20190805,19764.0324
20190806,17753.631
20190807,19559.0605
20190808,20872.5244
20190809,21865.1699
20190810,20652.9323
20190811,18581.696
20190812,17781.2194
20190813,20665.0332
20190814,18456.144
20190815,11811.0566
20190816,19118.2243
20190817,20691.1348
20190818,22290.0643
20190819,18258.6061
20190820,18810.2915
20190821,19808.2647
20190822,18047.8935
20190823,22728.2986
20190824,24272.5882
20190825,21748.167
20190826,20547.6586
20190827,23649.4538
20190828,25312.9765
20190829,21457.2911
20190830,29285.9539
20190831,27380.2893
20190901,27381.2805
20190902,20837.2955
20190903,23256.6495
20190904,20141.7209
20190905,23022.7263
20190906,25522.161
20190907,30234.3258
20190908,28370.0851
20190909,26665.9232
20190910,25028.4195
20190911,25733.0388
20190912,31553.0761
20190913,35702.7349
20190914,32531.5557
20190915,24283.3675
20190916,23954.7847
20190917,24175.2441
20190918,26423.0792
20190919,31651.494
20190920,31407.2045
20190921,33772.6207
20190922,25582.1699
20190923,19544.6881
20190924,21106.0346
20190925,22184.7906
20190926,24733.7853
20190927,35382.9077
20190928,33411.5348
20190929,26592.8222
20190930,18605.3609
20191001,22858.6001
20191002,23605.7171
20191003,28394.4521
20191004,36812.7963
20191005,31511.2805
20191006,24677.9064
20191007,19485.5465
20191008,19339.0554
20191009,20039.999
20191010,19394.3974
20191011,34179.4257
20191012,34439.3679
20191013,30099.7704
20191014,18062.8854
20191015,22530.3064
20191016,23046.8868
20191017,22246.0385
20191018,32250.0549
20191019,36170.9943
20191020,22159.4324
20191021,17087.5033
20191022,17865.0997
20191023,24651.144
20191024,22757.3325
20191025,36141.1757
20191026,37233.6433
20191027,30510.6228
20191028,20833.1655
20191029,20738.8363
20191030,24962.4634
20191031,35190.1193
20191101,34034.5453
20191102,31982.8026
20191103,29800.3867
20191104,18998.0826
20191105,24491.9325
20191106,22657.18
20191107,23292.3327
20191108,37950.7352
20191109,33719.798
20191110,24634.7892
20191111,20746.3116
20191112,24911.4579
20191113,23535.3832
20191114,21430.157
20191115,39590.2626
20191116,34927.0796
20191117,24953.5839
20191118,21191.2778
20191119,21137.0096
20191120,28292.6476
20191121,25862.8034
20191122,34282.6344
20191123,34856.4153
20191124,25898.1149
20191125,20067.1331
20191126,21909.3196
20191127,22903.4106
20191128,25541.6133
20191129,34108.3071
20191130,38949.9061
20191201,25575.2728
20191202,19863.0698
20191203,22573.2171
20191204,21058.044
20191205,23030.532
20191206,35965.5268
20191207,34872.7701
20191208,25483.5455
20191209,19132.4728
20191210,24766.1232
20191211,25498.4548
20191212,29442.8939
20191213,39155.7866
20191214,37716.6881
20191215,27561.9267
20191216,23943.0142
20191217,25894.4805
20191218,29267.7819
20191219,29175.6829
20191220,39118.8231
20191221,38233.9293
20191222,30237.382
20191223,29824.2168
20191224,9518.9479
20191225,8563.8854
20191226,21514.3264
20191227,26679.4696
20191228,29650.7981
20191229,24500.399
20191230,24931.6536
20191231,8033.0152
20200101,28548.9141
20200102,26018.7109
20200103,28308.8785
20200104,27845.1208
20200105,28485.2295
20200106,24000.4212
