Date,R003
20180901,17001.8058
20180902,14807.9085
20180903,15593.5584
20180904,15651.2545
20180905,15640.6404
20180906,15876.2569
20180907,15121.5407
20180908,15604.2551
20180909,14031.3859
20180910,14733.7337
20180911,17212.3532
20180912,16266.2528
20180913,18366.8947
20180914,20437.5528
20180915,18828.5048
20180916,16965.9574
20180917,17960.8744
20180918,15929.2035
20180919,16966.4943
20180920,18019.8921
20180921,19833.5816
20180922,20440.4851
20180923,16095.5599
20180924,15353.275
20180925,15863.4952
20180926,15017.6299
20180927,14563.6603
20180928,19943.6461
20180929,20033.4736
20180930,16074.2491
20181001,15101.0972
20181002,15762.6819
20181003,15857.2589
20181004,15653.7325
20181005,18719.6793
20181006,18592.847
20181007,14648.6557
20181008,14870.065
20181009,14447.1117
20181010,14307.7242
20181011,15608.8807
20181012,21428.1333
20181013,19523.3773
20181014,15147.0641
20181015,16495.6743
20181016,14600.0043
20181017,15617.3885
20181018,14937.9622
20181019,17496.332
20181020,20556.4555
20181021,16452.4332
20181022,14237.762
20181023,13671.1673
20181024,15855.1113
20181025,13894.8068
20181026,15988.9646
20181027,15979.8786
20181028,13510.6342
20181029,12658.2022
20181030,14640.3131
20181031,19969.7064
20181101,14397.0561
20181102,15983.5956
20181103,15556.7601
20181104,17089.4857
20181105,15051.2894
20181106,12509.5222
20181107,14304.5441
20181108,14488.3704
20181109,17726.0839
20181110,19827.7583
20181111,15163.3363
20181112,14463.8382
20181113,13870.8528
20181114,14595.833
20181115,15307.1016
20181116,21387.3289
20181117,20309.7706
20181118,17615.4412
20181119,14315.2821
20181120,15389.619
20181121,17025.3468
20181122,19265.7066
20181123,20365.9386
20181124,21947.9351
20181125,16778.7032
20181126,14047.7407
20181127,14097.755
20181128,15098.2062
20181129,15755.8261
20181130,16904.8334
20181201,22051.2264
20181202,15379.4179
20181203,16595.2899
20181204,14339.0296
20181205,16819.7554
20181206,14637.959
20181207,20986.6776
20181208,19215.5271
20181209,16423.2341
20181210,16599.4199
20181211,15784.1992
20181212,17694.4481
20181213,15024.3618
20181214,20112.4805
20181215,23278.3733
20181216,15849.6184
20181217,23998.7279
20181218,24849.1362
20181219,15603.0161
20181220,17629.1528
20181221,26203.1567
20181222,24688.2727
20181223,17052.1505
20181224,17908.1343
20181225,0.0
20181226,0.0
20181227,16969.5505
20181228,18452.2205
20181229,20615.5971
20181230,16853.0845
20181231,12151.8229
20190101,0.0
20190102,18367.6381
20190103,12434.4801
20190104,15657.1191
20190105,18566.1672
20190106,14639.7762
20190107,13028.085
20190108,12337.4251
20190109,13695.4104
20190110,15658.5646
20190111,16354.1805
20190112,19694.731
20190113,12930.617
20190114,16345.301
20190115,15529.2956
20190116,14048.8558
20190117,16677.5182
20190118,18248.3224
20190119,22630.7893
20190120,17252.9924
20190121,17126.8209
20190122,14144.837
20190123,15150.6572
20190124,17293.7555
20190125,19836.2661
20190126,22268.6709
20190127,15265.5951
20190128,14876.3426
20190129,15384.0435
20190130,14751.947
20190131,14124.5587
20190201,15631.5957
20190202,20344.1735
20190203,12003.3081
20190204,14212.0734
20190205,14186.0544
20190206,15100.2299
20190207,13628.7935
20190208,16835.7385
20190209,19925.3915
20190210,12926.1979
20190211,16004.1217
20190212,15821.3692
20190213,15589.3045
20190214,19529.5723
20190215,19003.6994
20190216,20596.4752
20190217,15948.9862
20190218,15748.8877
20190219,15250.1489
20190220,16856.0168
20190221,16493.0724
20190222,17716.8327
20190223,23455.3025
20190224,16510.7901
20190225,16579.6785
20190226,14927.9263
20190227,17828.3427
20190228,14796.0967
20190301,20410.2535
20190302,21944.755
20190303,16150.778
20190304,15250.4793
20190305,15169.2009
20190306,14451.6134
20190307,13775.5324
20190308,16394.6545
20190309,16470.2748
20190310,15138.7215
20190311,17491.1695
20190312,15006.8506
20190313,16983.7577
20190314,14808.8171
20190315,21778.9768
20190316,20373.6204
20190317,14440.9993
20190318,15165.8969
20190319,17284.0913
20190320,16768.2543
20190321,15342.3718
20190322,18096.7927
20190323,20915.7242
20190324,16512.6899
20190325,15795.5567
20190326,14579.1478
20190327,16491.503
20190328,18375.196
20190329,19281.1115
20190330,19996.5927
20190331,17045.7903
20190401,15876.7938
20190402,15403.248
20190403,15061.4492
20190404,14927.1003
20190405,18460.0675
20190406,19667.3491
20190407,17120.1303
20190408,14828.4346
20190409,15326.8017
20190410,15702.0948
20190411,16374.7479
20190412,18127.1069
20190413,20535.0208
20190414,15859.6956
20190415,17106.0057
20190416,15886.0037
20190417,21955.2865
20190418,19048.386
20190419,17784.3582
20190420,22595.643
20190421,0.0
20190422,0.0
20190423,16337.4953
20190424,15631.4718
20190425,14226.5697
20190426,15557.5035
20190427,19657.974
20190428,15398.0855
20190429,14213.9319
20190430,17561.6273
20190501,14974.967
20190502,14532.8505
20190503,16510.5423
20190504,18108.398
20190505,15312.2641
20190506,13563.7047
20190507,12742.702
20190508,13611.1171
20190509,14797.9965
20190510,16191.8302
20190511,22480.829
20190512,20471.2949
20190513,14859.1618
20190514,13519.142
20190515,15702.3426
20190516,16743.3504
20190517,16167.4219
20190518,20633.1496
20190519,16086.8043
20190520,15853.8723
20190521,15368.5973
20190522,13893.6917
20190523,15847.9251
20190524,16624.2412
20190525,18930.9288
20190526,15602.8096
20190527,15712.6676
20190528,14428.3202
20190529,13764.877
20190530,15451.8994
20190531,17833.0096
20190601,18938.2389
20190602,15148.3444
20190603,15741.4537
20190604,16066.5673
20190605,15678.8429
20190606,14576.1329
20190607,25515.6356
20190608,17524.8703
20190609,15917.2678
20190610,14618.5893
20190611,15802.3712
20190612,16571.5424
20190613,14781.7656
20190614,15596.6146
20190615,18530.2362
20190616,15959.4351
20190617,17597.1866
20190618,14844.2938
20190619,16985.7401
20190620,17336.2119
20190621,17631.1352
20190622,19064.2039
20190623,16189.7652
20190624,15586.7439
20190625,13990.788
20190626,14609.5859
20190627,17630.7222
20190628,16942.3751
20190629,18285.0794
20190630,18247.4964
20190701,16009.4907
20190702,12983.8527
20190703,14861.5572
20190704,15092.9611
20190705,18451.4771
20190706,19342.855
20190707,16644.2717
20190708,15641.8381
20190709,13695.0387
20190710,15875.5135
20190711,16171.0976
20190712,15904.2583
20190713,19349.9173
20190714,17071.3137
20190715,16119.4313
20190716,15789.8986
20190717,14060.1307
20190718,17268.8516
20190719,18226.8051
20190720,20215.0284
20190721,15456.5663
20190722,15982.1088
20190723,14506.9141
20190724,14667.6537
20190725,15177.8739
20190726,15792.9135
20190727,18746.0287
20190728,15778.5824
20190729,15187.662
20190730,15387.967
20190731,13691.6108
20190801,14946.3048
20190802,15754.9588
20190803,17903.5913
20190804,15904.7126
20190805,13696.1125
20190806,13828.066
20190807,15022.2555
20190808,13663.279
20190809,15982.8935
20190810,19029.0163
20190811,15648.8178
20190812,15740.1321
20190813,14453.9262
20190814,16202.4856
20190815,0.0
20190816,18100.0967
20190817,19718.1068
20190818,14480.3582
20190819,15561.3444
20190820,15099.4452
20190821,14881.3399
20190822,14365.3377
20190823,15193.1549
20190824,16970.2526
20190825,18359.3781
20190826,14975.2148
20190827,14104.3217
20190828,17218.6308
20190829,16265.4268
20190830,16493.0724
20190831,18529.5341
20190901,16931.8849
20190902,19426.7353
20190903,18971.1137
20190904,16605.9866
20190905,18465.5191
20190906,16684.6218
20190907,19783.2369
20190908,16192.6149
20190909,16358.2692
20190910,17721.9539
20190911,18925.1468
20190912,19781.2132
20190913,22093.1872
20190914,23805.6917
20190915,18516.9376
20190916,23678.8594
20190917,20223.0819
20190918,17629.6071
20190919,19543.6556
20190920,21606.6732
20190921,24455.0516
20190922,17313.2904
20190923,17218.7134
20190924,17840.2784
20190925,17361.5288
20190926,16203.3116
20190927,30589.2993
20190928,21311.0065
20190929,17491.9129
20190930,17190.3403
20191001,17978.3443
20191002,16859.5686
20191003,16632.0882
20191004,21942.8965
20191005,22415.4098
20191006,17277.8137
20191007,14652.4553
20191008,14416.8388
