,Date,R000,R001,R002,R003,R004,R005,Totale complessivo
1882,20230226,744.0,950,924.0,614,845,748.0,4825.0
1883,20230227,426.0,723,763.0,668,646,756.0,3982.0
1884,20230228,445.0,737,662.0,743,674,854.0,4115.0
1885,20230301,460.0,840,700.0,725,728,856.0,4309.0
1886,20230302,532.0,777,832.0,729,670,877.0,4417.0
1887,20230303,805.0,974,1109.0,861,969,1268.0,5986.0
1888,20230304,1072.0,1192,1230.0,932,1183,1124.0,6733.0
1889,20230305,925.0,1023,970.0,636,886,980.0,5420.0
1890,20230306,434.0,707,667.0,698,605,814.0,3925.0
1891,20230307,441.0,786,719.0,684,694,915.0,4239.0
1892,20230308,624.0,923,791.0,662,564,921.0,4485.0
1893,20230309,494.0,767,777.0,736,685,865.0,4324.0
1894,20230310,799.0,1103,1086.0,816,951,1228.0,5983.0
1895,20230311,1112.0,1253,1217.0,928,1173,1202.0,6885.0
1896,20230312,850.0,1126,1046.0,676,933,855.0,5486.0
1897,20230313,388.0,709,682.0,719,668,763.0,3929.0
1898,20230314,442.0,747,754.0,751,662,931.0,4287.0
1899,20230315,501.0,858,864.0,776,800,923.0,4722.0
1900,20230316,463.0,872,852.0,836,759,904.0,4686.0
1901,20230317,786.0,1140,1075.0,915,1003,1279.0,6198.0
1902,20230318,989.0,1318,1194.0,946,1158,1050.0,6655.0
1903,20230319,731.0,1034,1016.0,617,825,905.0,5128.0
1904,20230320,371.0,733,721.0,707,661,827.0,4020.0
1905,20230321,495.0,744,745.0,786,718,817.0,4305.0
1906,20230322,493.0,837,845.0,753,718,994.0,4640.0
1907,20230323,515.0,824,771.0,695,661,884.0,4350.0
1908,20230324,797.0,1088,1016.0,813,1001,1243.0,5958.0
1909,20230325,1006.0,1157,1163.0,726,1065,1117.0,6234.0
1910,20230326,937.0,1067,944.0,523,885,985.0,5341.0
1911,20230327,485.0,830,806.0,678,779,867.0,4445.0
1912,20230328,486.0,845,839.0,613,785,904.0,4472.0
1913,20230329,544.0,823,828.0,697,792,1037.0,4721.0
1914,20230330,560.0,822,960.0,736,857,954.0,4889.0
1915,20230331,717.0,1171,1052.0,769,966,1260.0,5935.0
1916,20230401,1030.0,1246,1128.0,782,1207,1135.0,6528.0
1917,20230402,823.0,1104,933.0,541,896,1039.0,5336.0
1918,20230403,558.0,741,728.0,678,689,763.0,4157.0
1919,20230404,465.0,783,830.0,682,632,894.0,4286.0
1920,20230405,679.0,945,959.0,744,936,1025.0,5288.0
1921,20230406,834.0,1082,1055.0,722,963,962.0,5618.0
1922,20230407,1051.0,1133,1073.0,675,1045,1008.0,5985.0
1923,20230408,993.0,987,1030.0,735,983,901.0,5629.0
1924,20230409,347.0,600,579.0,0,436,542.0,2504.0
1925,20230410,687.0,996,861.0,0,750,785.0,4079.0
1926,20230411,638.0,829,753.0,679,699,771.0,4369.0
