Date,R002
20191108,1174.0
20191109,1406.0
20191110,1086.0
20191111,723.0
20191112,806.0
20191113,743.0
20191114,785.0
20191115,1115.0
20191116,1234.0
20191117,1135.0
20191118,626.0
20191119,694.0
20191120,884.0
20191121,866.0
20191122,1234.0
20191123,1409.0
20191124,1056.0
20191125,628.0
20191126,744.0
20191127,735.0
20191128,777.0
20191129,1179.0
20191130,1344.0
20191201,942.0
20191202,666.0
20191203,694.0
20191204,643.0
20191205,682.0
20191206,1118.0
20191207,1222.0
20191208,939.0
20191209,609.0
20191210,871.0
20191211,716.0
20191212,735.0
20191213,1103.0
20191214,1303.0
20191215,935.0
20191216,770.0
20191217,861.0
20191218,766.0
20191219,863.0
20191220,1103.0
20191221,1195.0
20191222,962.0
20191223,898.0
20191224,368.0
20191225,430.0
20191226,953.0
20191227,942.0
20191228,1071.0
20191229,863.0
20191230,841.0
20191231,355.0
20200101,961.0
20200102,867.0
20200103,936.0
20200104,1093.0
20200105,853.0
20200106,643.0
20200107,534.0
20200108,551.0
20200109,615.0
20200110,1023.0
20200111,1219.0
20200112,920.0
20200113,596.0
20200114,617.0
20200115,635.0
20200116,727.0
20200117,962.0
20200118,1143.0
20200119,856.0
20200120,600.0
20200121,589.0
20200122,618.0
20200123,822.0
20200124,992.0
20200125,1167.0
20200126,776.0
20200127,604.0
20200128,639.0
20200129,674.0
20200130,638.0
20200131,1007.0
20200201,1209.0
20200202,944.0
20200203,580.0
20200204,614.0
20200205,685.0
20200206,736.0
20200207,990.0
20200208,1081.0
20200209,866.0
20200210,618.0
20200211,645.0
20200212,599.0
20200213,756.0
20200214,1136.0
20200215,1213.0
20200216,935.0
20200217,674.0
20200218,708.0
20200219,640.0
20200220,809.0
20200221,854.0
20200222,766.0
20200223,459.0
20200224,402.0
20200225,464.0
20200226,464.0
20200227,566.0
20200228,691.0
20200229,745.0
20200301,663.0
20200302,518.0
20200303,554.0
20200304,517.0
20200305,545.0
20200306,719.0
20200307,811.0
