Date,R000
20180901,50173.718
20180902,43169.7749
20180903,24781.9411
20180904,25100.7771
20180905,23516.6743
20180906,25286.4206
20180907,33740.1176
20180908,43120.9583
20180909,33189.506
20180910,24600.4276
20180911,22109.0051
20180912,24504.4877
20180913,20429.4167
20180914,30030.4277
20180915,47756.3051
20180916,34824.2839
20180917,18185.7529
20180918,19944.4308
20180919,20697.8667
20180920,24180.324
20180921,28866.3872
20180922,44237.256
20180923,41700.8165
20180924,14256.5535
20180925,17540.11
20180926,14974.8844
20180927,15685.6987
20180928,28288.2698
20180929,46114.8779
20180930,33820.2396
20181001,15523.6375
20181002,16627.38
20181003,14708.582
20181004,14978.6427
20181005,27578.901
20181006,46877.2346
20181007,36216.5482
20181008,14180.768
20181009,12889.5235
20181010,17163.6605
20181011,17848.2906
20181012,28371.861
20181013,45786.0473
20181014,36393.4774
20181015,15452.9732
20181016,13483.5414
20181017,14795.3946
20181018,14319.4947
20181019,28299.6686
20181020,47465.2227
20181021,33582.4342
20181022,15426.1695
20181023,12978.938
20181024,16133.8863
20181025,14780.444
20181026,25215.5911
20181027,45696.3024
20181028,40173.336
20181029,11255.6129
20181030,16006.8888
20181031,37868.9612
20181101,39120.2273
20181102,33632.9028
20181103,50738.9911
20181104,39085.6179
20181105,13282.7821
20181106,13787.3855
20181107,16150.1585
20181108,17426.0807
20181109,24391.4496
20181110,45704.8102
20181111,37150.0934
20181112,14014.9898
20181113,13847.7248
20181114,16556.8809
20181115,16609.4145
20181116,30500.8347
20181117,48436.2683
20181118,41139.4669
20181119,14022.3825
20181120,16850.7304
20181121,16893.5998
20181122,15953.9422
20181123,34229.6465
20181124,50841.6629
20181125,42655.7551
20181126,15433.4383
20181127,14479.2844
20181128,15350.9622
20181129,16063.0568
20181130,27795.6434
20181201,57001.4753
20181202,43292.6011
20181203,17741.4888
20181204,16201.164
20181205,18659.1335
20181206,17746.2796
20181207,30375.9022
20181208,53894.2285
20181209,40488.868
20181210,17693.4982
20181211,20298.4957
20181212,22171.8224
20181213,19377.1753
20181214,29398.6616
20181215,58347.6488
20181216,45289.2083
20181217,19910.1105
20181218,21834.484
20181219,20643.9289
20181220,27330.6467
20181221,39741.751
20181222,54617.3089
20181223,54765.3281
20181224,20792.0307
20181225,9022.5219
20181226,37116.9295
20181227,31029.5573
20181228,38614.7566
20181229,51785.5744
20181230,44852.4195
20181231,12884.774
20190101,30703.3699
20190102,30648.9365
20190103,31904.5391
20190104,33885.7414
20190105,59857.4942
20190106,42351.7045
20190107,13800.808
20190108,13333.4985
20190109,16763.1331
20190110,15645.679
20190111,30200.212
20190112,54824.8414
20190113,46652.3148
20190114,14374.2585
20190115,16549.4882
20190116,18290.7375
20190117,17180.387
20190118,27659.8077
20190119,43707.3357
20190120,43359.8788
20190121,14369.0134
20190122,14853.0907
20190123,8601.5097
20190124,17945.3043
20190125,29744.2187
20190126,51737.9968
20190127,40534.298
20190128,15107.6226
20190129,15182.8712
20190130,13203.8991
20190131,13651.9215
20190201,20688.0373
20190202,48186.2381
20190203,45278.016
20190204,16246.9657
20190205,16196.7036
20190206,17996.888
20190207,14059.346
20190208,25686.948
20190209,48971.6402
20190210,41035.2257
20190211,15557.9991
20190212,18111.4955
20190213,18390.3944
20190214,21889.7434
20190215,28858.375
20190216,50039.2865
20190217,42312.0152
20190218,14010.1164
20190219,15405.3543
20190220,17032.7395
20190221,20018.6056
20190222,30014.8576
20190223,50395.4164
20190224,38951.7233
20190225,15351.1274
20190226,15926.932
20190227,17414.145
20190228,19417.6493
20190301,29498.4837
20190302,47950.7455
20190303,40296.2861
20190304,24728.7467
20190305,22374.0685
20190306,18476.794
20190307,16547.258
20190308,29114.6415
20190309,47902.1354
20190310,38111.9291
20190311,13583.7352
20190312,16704.611
20190313,17233.7053
20190314,16865.4745
20190315,25375.5873
20190316,49362.0904
20190317,43712.2091
20190318,17810.2946
20190319,18320.1431
20190320,16606.7713
20190321,17414.1037
20190322,29682.8056
20190323,47387.3309
20190324,37697.0293
20190325,14460.6581
20190326,15978.144
20190327,17763.956
20190328,20304.6907
20190329,25614.9621
20190330,45659.3802
20190331,37918.4386
20190401,18008.8237
20190402,16154.3298
20190403,19452.3413
20190404,16374.0045
20190405,30097.0033
20190406,48171.2462
20190407,47832.7514
20190408,15657.6147
20190409,17590.4134
20190410,15746.9879
20190411,19755.442
20190412,31663.058
20190413,47704.5149
20190414,49053.0012
20190415,17858.3678
20190416,18450.0316
20190417,25177.6777
20190418,31712.2876
20190419,30804.0593
20190420,48318.0264
20190421,11512.5815
20190422,27703.0488
20190423,32018.9401
20190424,35400.0059
20190425,46688.2045
20190426,40188.4105
20190427,45953.0232
20190428,34191.1136
20190429,20027.0308
20190430,29059.6712
20190501,29939.3612
20190502,15014.202
20190503,31372.0169
20190504,40843.5524
20190505,47083.9411
20190506,16516.5721
20190507,16894.178
20190508,19005.6818
20190509,19416.2451
20190510,30782.2529
20190511,45998.0815
20190512,39701.0292
20190513,18070.2368
20190514,16174.5255
20190515,22175.4568
20190516,21180.1681
20190517,29767.0163
20190518,54526.5728
20190519,45649.1791
20190520,15327.5864
20190521,17349.8822
20190522,19886.4456
20190523,22054.8195
20190524,27919.8325
20190525,43821.6541
20190526,41155.037
20190527,22416.1945
20190528,16888.396
20190529,17888.269
20190530,18231.472
20190531,23787.4371
20190601,38434.3169
20190602,32653.3494
20190603,15775.5675
20190604,16360.7885
20190605,16917.6364
20190606,17805.3386
20190607,28651.6685
20190608,37643.0502
20190609,38895.0184
20190610,18917.8367
20190611,19031.04
20190612,17982.7634
20190613,19183.3544
