Date,R001
20180901,1238
20180902,971
20180903,782
20180904,793
20180905,758
20180906,827
20180907,953
20180908,1185
20180909,850
20180910,850
20180911,848
20180912,856
20180913,898
20180914,1162
20180915,1230
20180916,992
20180917,869
20180918,761
20180919,759
20180920,965
20180921,1089
20180922,1227
20180923,1039
20180924,699
20180925,713
20180926,845
20180927,778
20180928,1112
20180929,1321
20180930,935
20181001,671
20181002,711
20181003,753
20181004,792
20181005,1122
20181006,1250
20181007,959
20181008,731
20181009,736
20181010,762
20181011,763
20181012,1176
20181013,1351
20181014,945
20181015,716
20181016,730
20181017,795
20181018,761
20181019,1158
20181020,1358
20181021,984
20181022,710
20181023,771
20181024,756
20181025,722
20181026,1124
20181027,1007
20181028,857
20181029,630
20181030,697
20181031,1111
20181101,1042
20181102,1092
20181103,1236
20181104,935
20181105,633
20181106,710
20181107,735
20181108,785
20181109,1106
20181110,1395
20181111,1008
20181112,728
20181113,824
20181114,808
20181115,768
20181116,1161
20181117,1321
20181118,925
20181119,698
20181120,756
20181121,778
20181122,822
20181123,1112
20181124,1372
20181125,1031
20181126,627
20181127,724
20181128,754
20181129,738
20181130,1138
20181201,1510
20181202,968
20181203,703
20181204,794
20181205,830
20181206,995
20181207,1224
20181208,1266
20181209,980
20181210,835
20181211,750
20181212,813
20181213,810
20181214,1129
20181215,1368
20181216,911
20181217,762
20181218,821
20181219,853
20181220,989
20181221,1158
20181222,1341
20181223,951
20181224,298
20181225,488
20181226,898
20181227,870
20181228,1128
20181229,1178
20181230,942
20181231,315
20190101,1134
20190102,819
20190103,903
20190104,1094
20190105,1313
20190106,895
20190107,652
20190108,594
20190109,715
20190110,793
20190111,1142
20190112,1313
20190113,961
20190114,720
20190115,811
20190116,794
20190117,833
20190118,1231
20190119,1299
20190120,926
20190121,656
20190122,676
20190123,677
20190124,914
20190125,1141
20190126,1322
20190127,873
20190128,708
20190129,678
20190130,679
20190131,700
20190201,1032
20190202,1322
20190203,967
20190204,709
20190205,686
20190206,734
20190207,753
20190208,1197
20190209,1205
20190210,901
20190211,740
20190212,720
20190213,819
20190214,947
20190215,1187
20190216,1283
20190217,1015
20190218,747
20190219,751
20190220,791
20190221,887
20190222,1195
20190223,1321
20190224,996
20190225,728
20190226,722
20190227,776
20190228,861
20190301,1279
20190302,1285
20190303,953
20190304,722
20190305,768
20190306,732
20190307,822
20190308,1185
20190309,1313
20190310,1008
20190311,660
20190312,721
20190313,756
20190314,811
20190315,1164
20190316,1379
20190317,1098
20190318,774
20190319,745
20190320,824
20190321,818
20190322,1124
20190323,1294
20190324,963
20190325,700
20190326,683
20190327,765
20190328,969
20190329,1141
20190330,1320
20190331,995
20190401,764
20190402,736
20190403,814
20190404,847
20190405,1236
20190406,1309
20190407,1096
20190408,734
20190409,793
20190410,777
20190411,850
20190412,1174
20190413,1387
20190414,1005
20190415,779
20190416,770
20190417,937
20190418,1141
20190419,1181
20190420,1248
20190421,564
20190422,941
20190423,892
20190424,1023
20190425,1020
20190426,1157
20190427,1314
20190428,990
20190429,764
20190430,996
20190501,970
20190502,773
20190503,1185
20190504,1360
20190505,958
20190506,845
20190507,807
20190508,803
20190509,828
20190510,1221
20190511,1150
20190512,976
20190513,757
20190514,794
20190515,867
20190516,1044
20190517,1228
20190518,1364
20190519,1036
20190520,776
20190521,817
20190522,806
20190523,922
20190524,1222
20190525,1402
20190526,1087
20190527,829
20190528,733
20190529,757
20190530,838
20190531,1226
20190601,1327
20190602,998
20190603,723
20190604,771
20190605,805
20190606,823
20190607,1279
20190608,1285
20190609,776
20190610,819
20190611,803
20190612,857
20190613,819
20190614,1112
20190615,1295
20190616,935
20190617,839
20190618,804
20190619,847
20190620,972
20190621,1175
20190622,1289
20190623,915
20190624,749
20190625,717
20190626,749
20190627,865
20190628,1114
20190629,1105
20190630,1127
20190701,896
20190702,887
20190703,942
20190704,875
20190705,1091
20190706,1215
20190707,918
20190708,865
20190709,867
20190710,1047
20190711,935
20190712,1136
20190713,1240
20190714,999
20190715,885
20190716,840
20190717,881
20190718,906
20190719,1111
20190720,1149
20190721,992
20190722,835
20190723,749
20190724,873
20190725,826
20190726,1140
20190727,1142
20190728,1019
20190729,793
20190730,858
20190731,874
20190801,868
20190802,1146
20190803,1077
20190804,825
20190805,771
20190806,735
20190807,770
20190808,808
20190809,1050
20190810,966
20190811,800
20190812,791
20190813,765
20190814,816
20190815,666
20190816,959
20190817,967
20190818,773
20190819,781
20190820,801
20190821,869
20190822,843
20190823,960
20190824,1255
20190825,890
20190826,797
20190827,864
20190828,891
20190829,830
20190830,1141
20190831,1234
20190901,985
20190902,914
20190903,848
20190904,730
20190905,926
20190906,1238
20190907,1280
20190908,968
20190909,903
20190910,932
20190911,958
20190912,950
20190913,1205
20190914,1329
20190915,1122
20190916,926
20190917,810
20190918,786
20190919,1003
20190920,1218
20190921,1381
20190922,1005
20190923,837
20190924,799
20190925,865
20190926,899
20190927,1280
20190928,1438
20190929,1012
20190930,777
20191001,771
20191002,812
20191003,792
20191004,1240
20191005,1336
20191006,966
20191007,742
20191008,776
20191009,749
20191010,836
20191011,1200
20191012,1407
20191013,1105
20191014,784
20191015,788
20191016,906
20191017,878
20191018,1245
20191019,1431
20191020,1088
20191021,816
20191022,720
20191023,818
20191024,828
20191025,1364
20191026,1489
20191027,1056
20191028,767
20191029,859
20191030,859
20191031,1421
20191101,1387
20191102,1369
20191103,950
20191104,696
20191105,813
20191106,814
20191107,910
20191108,1094
20191109,1043
20191110,874
20191111,657
20191112,683
20191113,766
20191114,732
20191115,1034
20191116,1229
20191117,934
20191118,594
20191119,610
20191120,687
20191121,724
20191122,968
20191123,1213
20191124,830
20191125,652
20191126,655
20191127,744
20191128,751
20191129,1003
20191130,1172
20191201,825
20191202,600
20191203,614
20191204,747
20191205,690
20191206,972
20191207,1113
20191208,798
20191209,670
20191210,887
20191211,760
20191212,795
20191213,1093
20191214,1166
20191215,835
20191216,668
20191217,857
20191218,720
20191219,852
20191220,1004
20191221,1159
20191222,831
20191223,850
20191224,323
20191225,491
20191226,930
