Date,R002
20191108,47231.7538
20191109,62987.3321
20191110,52073.6419
20191111,28208.6434
20191112,31971.0321
20191113,29084.6577
20191114,31366.111
20191115,46638.025
20191116,55442.0286
20191117,48690.9241
20191118,22903.1215
20191119,24686.4555
20191120,32408.5643
20191121,31397.8294
20191122,47287.9631
20191123,55305.4908
20191124,43428.6433
20191125,23427.2185
20191126,27116.9192
20191127,27810.4701
20191128,29320.1503
20191129,45973.3015
20191130,56993.3805
20191201,39202.1252
20191202,24066.9555
20191203,24156.7417
20191204,23703.722
20191205,26020.4042
20191206,40234.2122
20191207,50738.7846
20191208,39398.7132
20191209,22214.6505
20191210,29052.072
20191211,26951.554
20191212,27365.5452
20191213,41110.3917
20191214,56513.3506
20191215,43817.4828
20191216,26760.7893
20191217,28378.3451
20191218,29412.5384
20191219,32891.1548
20191220,43351.4949
20191221,51718.751
20191222,41961.7499
20191223,39278.9845
20191224,15199.5564
20191225,18309.2812
20191226,39562.7981
20191227,38080.1281
20191228,42461.4799
20191229,37738.0402
20191230,35588.21
20191231,12774.916
20200101,43412.3298
20200102,35507.8815
20200103,39908.0248
20200104,47522.1754
20200105,40297.8968
20200106,29884.7213
20200107,19656.5698
20200108,20261.9039
20200109,23503.6648
20200110,41135.9564
20200111,53462.3131
20200112,42423.36
20200113,22986.5475
20200114,23326.4052
20200115,25476.8962
20200116,29227.6796
20200117,38075.3786
20200118,50500.4423
20200119,38287.578
20200120,21992.8282
20200121,22940.911
20200122,25675.9209
20200123,30545.6039
20200124,42305.9854
20200125,49070.5537
20200126,36956.3138
20200127,24971.5907
20200128,23197.9622
20200129,25151.2044
20200130,25481.0675
20200131,40263.6178
20200201,50224.4757
20200202,38019.8714
20200203,20518.9551
20200204,22977.7919
20200205,24948.9583
20200206,26989.4674
20200207,38245.4107
20200208,44792.0802
20200209,36868.1796
20200210,23164.5505
20200211,22963.0478
20200212,22200.815
20200213,29292.1489
20200214,48104.3402
20200215,51323.7578
20200216,42755.0816
20200217,24472.0672
20200218,25043.081
20200219,24167.4797
20200220,31260.0113
20200221,33892.2668
20200222,32135.943
20200223,19306.5523
20200224,15163.4602
20200225,18548.6973
20200226,19069.7794
20200227,23697.3618
20200228,29252.4183
20200229,35310.7566
20200301,29801.6257
20200302,18062.142
20200303,21231.9996
20200304,18367.762
20200305,20141.0601
20200306,29241.8868
20200307,31875.9595
20200308,9469.0575
20200309,7113.099
20200310,6542.7873
