Date,R004
20180901,46703.5681
20180902,37350.8527
20180903,27135.5042
20180904,25410.8575
20180905,25916.163
20180906,26927.3935
20180907,35253.9691
20180908,42694.4119
20180909,37097.312
20180910,29715.4326
20180911,29383.2567
20180912,28206.8675
20180913,25309.053
20180914,34883.4668
20180915,42332.5
20180916,34234.4786
20180917,25256.7259
20180918,23591.8816
20180919,24206.9212
20180920,28025.1475
20180921,37750.265
20180922,44276.3258
20180923,34114.5434
20180924,24654.6132
20180925,22121.8081
20180926,24390.9953
20180927,23874.3736
20180928,35966.6006
20180929,44247.9114
20180930,36464.183
20181001,23871.8543
20181002,21244.72
20181003,25117.008
20181004,24659.7344
20181005,35955.6974
20181006,42608.797
20181007,34090.4655
20181008,21602.1302
20181009,21484.7969
20181010,23097.7271
20181011,27460.9069
20181012,34463.3632
20181013,45933.4883
20181014,36520.1032
20181015,22984.4412
20181016,23368.8616
20181017,22674.0304
20181018,26137.531
20181019,35856.8665
20181020,46439.4959
20181021,33395.593
20181022,22940.6632
20181023,25425.106
20181024,23454.1048
20181025,26191.7579
20181026,33661.8128
20181027,42571.5031
20181028,36902.376
20181029,21395.7954
20181030,24630.2049
20181031,41473.2122
20181101,32407.4492
20181102,38419.1598
20181103,41308.3839
20181104,31334.5578
20181105,20373.9921
20181106,22818.8695
20181107,21764.4805
20181108,22813.9548
20181109,37330.0375
20181110,44354.4241
20181111,35736.3531
20181112,21006.5429
20181113,22538.8968
20181114,24698.9281
20181115,26197.0856
20181116,39289.1856
20181117,46408.81
20181118,35270.1587
20181119,22499.7444
20181120,24885.315
20181121,23973.824
20181122,27034.2779
20181123,37623.3914
20181124,49084.5131
20181125,37712.9298
20181126,19756.4332
20181127,24011.2418
20181128,26933.9189
20181129,24520.8838
20181130,38596.0064
20181201,48371.4273
20181202,37356.2217
20181203,21050.8991
20181204,23387.1162
20181205,26467.6006
20181206,25454.016
20181207,34857.8608
20181208,39490.8948
20181209,34794.011
20181210,18744.005
20181211,25405.2407
20181212,25511.5882
20181213,22986.4236
20181214,39000.9942
20181215,41974.7594
20181216,37357.8324
20181217,23206.1809
20181218,27336.2635
20181219,27450.5819
20181220,33464.2749
20181221,40568.3705
20181222,42791.7147
20181223,34691.0501
20181224,13774.7064
20181225,12647.7533
20181226,28577.2872
20181227,25866.1074
20181228,35063.287
20181229,39795.1106
20181230,32428.8839
20181231,12515.1803
20190101,35877.1035
20190102,27608.637
20190103,27782.0557
20190104,34838.7802
20190105,40475.7346
20190106,34984.4453
20190107,20393.2792
20190108,19565.8337
20190109,25295.2175
20190110,27379.0916
20190111,34963.754
20190112,45157.6265
20190113,35618.6894
20190114,23107.0609
20190115,23702.2765
20190116,24631.8982
20190117,27577.4142
20190118,37089.0933
20190119,44348.1052
20190120,37173.4279
20190121,24144.4756
20190122,21217.2968
20190123,22593.7845
20190124,26954.7754
20190125,34156.5868
20190126,47426.2768
20190127,33627.8229
20190128,21025.7474
20190129,21300.1859
20190130,18994.4895
20190131,24518.2406
20190201,27891.542
20190202,44674.5404
20190203,34625.7548
20190204,24609.8853
20190205,22112.9699
20190206,26183.7044
20190207,25878.3322
20190208,37442.3322
20190209,47177.7747
20190210,38310.6647
20190211,21744.863
20190212,23183.1355
20190213,24729.1184
20190214,30683.0503
20190215,33893.1754
20190216,43505.7091
20190217,39923.884
20190218,22303.3629
20190219,24831.7076
20190220,30223.4226
20190221,30111.9539
20190222,37277.9582
20190223,43589.0938
20190224,36983.0349
20190225,22057.1736
20190226,23333.6327
20190227,27597.5686
20190228,28048.2755
20190301,33333.5604
20190302,43405.8457
20190303,35090.7928
20190304,26143.726
20190305,30153.0474
20190306,23307.3659
20190307,24607.8203
20190308,39856.152
20190309,47695.5115
20190310,37476.4047
20190311,20937.9023
20190312,22457.8662
20190313,25726.6786
20190314,25022.7614
20190315,37456.0438
20190316,39566.1847
20190317,42193.319
20190318,21178.227
20190319,26072.4422
20190320,25175.5301
20190321,29162.343
20190322,37940.9471
20190323,43256.4223
20190324,41960.8413
20190325,23289.5243
20190326,23957.0149
20190327,25438.8176
20190328,30147.5545
20190329,34403.0652
20190330,46497.4398
20190331,39474.3748
20190401,24188.2123
20190402,24314.4664
20190403,24354.4861
20190404,25915.9152
20190405,33518.2127
20190406,44527.3885
20190407,35409.4636
20190408,19892.6819
20190409,22890.112
20190410,21446.7183
20190411,28165.1958
20190412,37419.8237
20190413,44710.3062
20190414,35872.8083
20190415,21814.3709
20190416,26990.6651
20190417,30482.291
20190418,33588.2162
20190419,38761.7433
20190420,42544.4516
20190421,19166.2975
20190422,32098.8969
20190423,26110.1904
20190424,32909.6572
20190425,33267.5217
20190426,32932.1244
20190427,39924.2144
20190428,34299.4435
20190429,23427.012
20190430,31904.6217
20190501,29625.7703
20190502,23680.4701
20190503,30060.5767
20190504,45424.8788
20190505,34812.5134
20190506,23346.3531
20190507,22916.5853
20190508,25100.0337
20190509,23641.1112
20190510,37669.6061
20190511,45345.9958
20190512,37767.4458
20190513,23630.9101
20190514,25243.7164
20190515,24550.2894
20190516,28899.8402
20190517,40321.0248
20190518,44449.1663
20190519,35219.1945
20190520,21730.6971
20190521,27106.429
20190522,24005.1294
20190523,27714.1585
20190524,37575.7725
20190525,47491.4895
20190526,37917.6126
20190527,26206.5433
20190528,25677.2425
20190529,28190.8844
20190530,25834.0173
20190531,38524.64
20190601,43546.3483
20190602,31835.1964
20190603,23775.9144
20190604,24830.0556
20190605,23779.8792
20190606,22900.4783
20190607,42963.5227
20190608,42182.5397
20190609,35488.8422
20190610,25455.7093
20190611,25019.9117
20190612,26970.1803
20190613,28276.5819
20190614,36420.4463
20190615,42898.9708
20190616,37462.6105
20190617,21310.0979
20190618,25013.7993
20190619,27056.3321
20190620,34104.1771
20190621,39317.8891
20190622,49687.1627
20190623,32392.9116
20190624,24502.0923
20190625,25753.2758
20190626,29200.4629
20190627,26624.9949
20190628,34060.5643
20190629,40643.5365
20190630,39201.7122
20190701,27870.5616
20190702,24850.2926
20190703,27710.1937
20190704,30446.8969
20190705,35188.0543
20190706,43543.2508
20190707,38877.3007
20190708,23678.4051
20190709,26491.9263
20190710,33242.6591
20190711,27775.3238
20190712,39038.3707
20190713,44530.486
20190714,35407.6051
20190715,26755.0486
20190716,25224.3054
20190717,29551.1825
20190718,32095.6342
20190719,35326.5745
20190720,44216.6473
20190721,32283.9622
20190722,25956.7196
20190723,28823.6004
20190724,27345.8451
20190725,27933.668
20190726,37108.3804
20190727,46748.1721
20190728,33746.5604
20190729,27660.6337
20190730,26056.9547
20190731,31491.2913
20190801,28237.0991
20190802,35647.1451
20190803,41725.6791
20190804,32823.7532
20190805,24969.0301
20190806,26303.6396
20190807,26516.7063
20190808,28032.7054
20190809,32458.6199
20190810,33127.4321
20190811,28223.181
20190812,26269.8149
20190813,24304.5957
20190814,28854.2863
20190815,23060.4332
20190816,29862.7084
20190817,35126.9716
20190818,28977.0712
20190819,26396.7711
20190820,27383.7998
20190821,29009.9047
20190822,29341.7915
20190823,36126.0186
20190824,39419.2806
20190825,27897.3653
20190826,25851.5285
20190827,25041.4703
20190828,30648.9365
20190829,29231.3553
20190830,39325.447
20190831,44615.7292
20190901,40943.2093
20190902,28005.943
20190903,30767.5501
20190904,28835.8665
20190905,30598.5505
20190906,39979.1021
20190907,43178.2414
20190908,38951.8472
20190909,27508.8975
20190910,30096.549
20190911,30130.415
20190912,31026.4185
20190913,39545.576
20190914,49859.0946
20190915,36959.4939
20190916,25536.4095
20190917,23806.3525
20190918,25005.0437
20190919,31007.0075
20190920,41392.8424
20190921,44253.4869
20190922,41130.5874
20190923,22732.2634
20190924,23999.1409
20190925,27803.6556
20190926,26925.0807
20190927,39620.329
20190928,45936.5858
20190929,33784.1847
20190930,27201.7494
20191001,25441.0478
20191002,28000.2436
20191003,28721.3003
20191004,35866.6133
20191005,49230.6325
20191006,35329.9198
20191007,22875.6157
20191008,23000.8373
20191009,26230.2495
20191010,26395.5321
20191011,36899.7741
20191012,50363.3263
20191013,36809.6162
20191014,21463.3209
20191015,25993.8483
20191016,29132.607
20191017,27121.5035
20191018,39074.0952
20191019,49242.7747
20191020,35847.574
20191021,22074.5196
20191022,25152.4434
20191023,28344.8921
20191024,24533.1912
20191025,40400.6099
20191026,49678.531
20191027,47492.4807
20191028,24354.1557
20191029,23122.1767
20191030,27800.8885
20191031,46951.1203
20191101,42299.5839
20191102,42257.0036
20191103,31394.8145
20191104,23346.6009
20191105,29587.32
20191106,25218.193
20191107,26224.9218
20191108,36394.4686
20191109,48380.2655
20191110,35623.1911
20191111,21736.3139
20191112,23318.4343
20191113,27495.5989
20191114,25417.9198
20191115,40504.8511
20191116,43830.4923
20191117,41095.978
20191118,23616.3312
20191119,25619.8355
20191120,28579.187
20191121,28836.6925
20191122,42507.199
20191123,43389.2018
20191124,37513.9464
20191125,21557.8566
20191126,25230.0461
20191127,26971.791
20191128,25765.6658
20191129,37933.8848
20191130,48830.6007
20191201,38787.6797
20191202,21893.7495
20191203,23844.8441
20191204,26713.8312
20191205,26080.7022
20191206,36303.113
20191207,43659.3451
20191208,35280.3185
20191209,22101.9015
20191210,26772.9728
20191211,30426.6186
20191212,28672.8554
20191213,37302.8621
20191214,46560.6288
20191215,39736.382
20191216,25328.9183
20191217,31145.8994
20191218,33523.5404
20191219,34951.7357
20191220,46925.5969
20191221,45841.1415
20191222,42841.316
20191223,32337.9413
20191224,11274.6522
20191225,11509.484
20191226,31414.9276
20191227,36806.3948
20191228,40025.7711
20191229,35099.4658
20191230,33293.9124
20191231,13508.3627
20200101,36157.2827
20200102,29157.3457
20200103,36615.2997
20200104,41122.5752
20200105,39623.0961
20200106,28195.7165
20200107,18218.7103
20200108,22120.6517
20200109,23569.5383
20200110,39039.651
20200111,46128.5069
20200112,38164.0497
20200113,21460.5951
20200114,26891.669
20200115,26979.1011
20200116,27135.9172
20200117,39968.488
20200118,46322.6995
20200119,43005.5661
20200120,24285.9694
20200121,22942.8108
20200122,26559.9061
20200123,30835.3647
20200124,38406.109
20200125,46828.3767
20200126,37865.6159
20200127,24393.9276
20200128,25092.0628
20200129,28345.3051
20200130,28684.3368
20200131,39033.043
20200201,50637.517
20200202,36027.2703
20200203,22318.6026
20200204,23289.1113
20200205,27074.1324
20200206,29305.0345
20200207,38651.6375
20200208,47068.8666
20200209,43769.74
20200210,21294.1974
20200211,25000.4594
20200212,24980.4289
20200213,28646.919
20200214,44856.1778
20200215,47246.4566
20200216,40904.5525
20200217,21190.2453
20200218,25819.3145
20200219,26595.4654
20200220,29891.0402
20200221,38926.2825
20200222,38002.2363
20200223,23162.3616
20200224,16406.0533
20200225,17287.4779
20200226,20134.7825
20200227,22425.3631
20200228,31420.6683
20200229,40749.2232
20200301,31443.5898
20200302,21926.7069
20200303,24218.7743
20200304,23023.8827
20200305,27502.909
20200306,30125.0047
20200307,33775.0574
20200308,12248.8366
20200309,7806.0717
20200310,7284.907
20200311,8248.1056
20200312,0.0
20200313,0.0
20200314,0.0
20200315,0.0
20200316,0.0
20200317,0.0
20200318,0.0
20200319,0.0
20200320,0.0
20200321,0.0
20200322,0.0
20200323,0.0
20200324,0.0
20200325,0.0
20200326,0.0
20200327,0.0
20200328,0.0
20200329,0.0
20200330,0.0
20200331,0.0
20200401,4.13
20200402,0.0
20200403,0.0
20200404,0.0
20200405,0.0
20200406,0.0
20200407,0.0
20200408,0.0
20200409,0.0
20200410,0.0
20200411,0.0
20200412,0.0
20200413,0.0
20200414,0.0
20200415,0.0
20200416,0.0
20200417,0.0
20200418,0.0
20200419,0.0
20200420,0.0
20200421,0.0
20200422,0.0
20200423,0.0
20200424,0.0
20200425,0.0
20200426,0.0
20200427,0.0
20200428,0.0
20200429,0.0
20200430,0.0
20200501,0.0
20200502,0.0
20200503,0.0
20200504,18317.7477
20200505,22887.0145
20200506,19965.3286
20200507,19658.8413
20200508,22719.1713
20200509,23144.4374
20200510,17521.2359
20200511,18514.6661
20200512,17881.5784
20200513,18488.6058
20200514,17634.687
20200515,20768.944
20200516,24852.9358
20200517,20165.3032
20200518,22638.4298
20200519,21413.224
20200520,23272.0544
20200521,21690.6774
20200522,25315.9501
20200523,27815.3022
20200524,27922.1866
20200525,18055.0797
20200526,20893.3396
20200527,21054.8226
20200528,20213.9546
20200529,25205.9682
20200530,31968.3476
20200531,23266.2311
20200601,25602.2417
20200602,25159.2579
20200603,21198.3814
20200604,24975.8033
20200605,28121.8308
20200606,33483.7685
20200607,29154.2482
20200608,24427.711
20200609,22944.0085
20200610,25482.4717
20200611,27902.1561
20200612,32609.4475
20200613,36861.9433
20200614,29933.827
20200615,23094.9187
20200616,28978.8058
20200617,25036.8447
20200618,26241.4418
20200619,31309.53
20200620,33733.9226
20200621,26999.7924
20200622,22442.1309
20200623,21991.5892
20200624,26005.1232
20200625,25089.6674
20200626,27946.8014
20200627,34650.8652
20200628,29800.1389
20200629,23257.4342
20200630,23552.8944
20200701,26871.5559
20200702,23892.2152
20200703,29325.6432
20200704,34196.8956
20200705,31380.4834
20200706,22590.5631
20200707,25454.9659
20200708,24112.2616
20200709,25412.6747
20200710,29123.934
20200711,33198.5507
20200712,30150.4455
20200713,22867.5622
20200714,24122.5866
20200715,27104.1575
20200716,25465.4974
20200717,32526.8062
20200718,33045.4929
20200719,24926.8215
20200720,25439.3132
20200721,25475.1616
20200722,25992.8984
20200723,24417.799
20200724,30146.9763
20200725,34969.4534
20200726,30861.1772
20200727,21778.2334
20200728,24290.8015
20200729,27393.877
20200730,25653.7015
20200731,28461.9776
20200801,32722.403
20200802,29475.9339
20200803,26049.1077
20200804,25681.8681
20200805,26128.1972
20200806,27157.5171
20200807,28045.178
20200808,32789.5981
20200809,28290.5826
20200810,26470.2438
20200811,23247.8113
20200812,25201.2187
20200813,27182.9166
20200814,29888.3144
20200815,25553.3012
20200816,31461.2249
20200817,29120.63
20200818,24540.6665
20200819,26655.6808
20200820,28063.5978
20200821,30185.6744
20200822,34831.0571
20200823,30726.0023
20200824,25862.8447
20200825,22866.9427
20200826,25095.119
20200827,29075.3652
20200828,31773.0812
20200829,38128.9447
20200830,34208.377
20200831,29284.7562
20200901,28474.698
20200902,28786.9673
20200903,29072.4329
20200904,36906.2995
20200905,38461.9466
20200906,31436.4036
20200907,26103.4585
20200908,26274.7296
20200909,26336.4318
20200910,30318.2887
20200911,34265.4123
20200912,42712.7904
20200913,33179.3462
20200914,27799.0713
20200915,27691.4435
20200916,25532.1969
20200917,29163.7885
20200918,33199.3767
20200919,42071.9383
20200920,34523.4547
20200921,26210.9211
20200922,24870.5296
20200923,25754.4322
20200924,24537.6516
20200925,36209.4033
20200926,41651.2565
20200927,32050.3281
20200928,22716.0325
20200929,24428.3718
20200930,26871.3081
20201001,28499.6019
20201002,31674.0851
20201003,42191.667
20201004,31410.3846
20201005,21865.4177
20201006,22941.8196
20201007,26584.1905
20201008,25208.5701
20201009,32086.5895
20201010,42042.2436
20201011,30512.3574
20201012,22975.19
20201013,25062.7398
20201014,22756.2587
20201015,29110.4702
20201016,37439.1934
20201017,41321.3521
20201018,32008.9868
20201019,20782.6969
20201020,23706.2826
20201021,25248.5485
20201022,25512.4142
20201023,30482.7453
20201024,36805.2797
20201025,30815.4168
20201026,17896.9833
20201027,20228.2857
20201028,23365.7228
20201029,23553.6791
20201030,30297.8452
20201031,36420.7354
20201101,25655.9317
20201102,20158.4474
20201103,20227.7075
20201104,24680.9213
20201105,25700.4531
20201106,15678.5538
20201107,14213.9319
20201108,12610.955
20201109,12119.7741
20201110,13246.7272
20201111,15452.8906
20201112,17504.9224
20201113,19029.2641
20201114,21012.2836
20201115,13654.5647
20201116,11890.3113
20201117,15699.5342
20201118,15917.3917
20201119,16873.3628
20201120,22793.47
20201121,23689.3496
20201122,17809.5925
20201123,14369.0134
20201124,17547.2549
20201125,17526.7288
20201126,20852.783
20201127,22755.9283
20201128,25152.8977
20201129,20682.1314
20201130,16156.0231
20201201,20677.5058
20201202,20079.7709
20201203,22492.3517
20201204,23712.4363
20201205,25283.034
20201206,22927.5711
20201207,19702.6606
20201208,19211.6036
20201209,16683.5893
20201210,19506.3204
20201211,25891.6721
20201212,27171.8895
20201213,30538.7068
20201214,20425.2867
20201215,23836.4602
20201216,25424.7343
20201217,26370.3391
20201218,30576.3724
20201219,40680.5826
20201220,34040.4925
20201221,20778.7734
20201222,25900.6755
20201223,29935.3964
20201224,6944.9667
20201225,0.0
20201226,11535.9986
20201227,17943.8175
20201228,15733.4828
20201229,24649.5746
20201230,27802.5405
20201231,8253.392
20210101,7393.939
20210102,19794.0575
20210103,20219.0345
