Date,R004
20180901,1158
20180902,974
20180903,808
20180904,731
20180905,760
20180906,741
20180907,897
20180908,1066
20180909,921
20180910,784
20180911,806
20180912,804
20180913,778
20180914,931
20180915,1056
20180916,940
20180917,724
20180918,674
20180919,694
20180920,928
20180921,1066
20180922,1138
20180923,926
20180924,749
20180925,759
20180926,742
20180927,790
20180928,1083
20180929,1263
20180930,955
20181001,707
20181002,675
20181003,723
20181004,714
20181005,993
20181006,1098
20181007,864
20181008,673
20181009,633
20181010,684
20181011,773
20181012,987
20181013,1195
20181014,919
20181015,657
20181016,700
20181017,671
20181018,737
20181019,975
20181020,1206
20181021,842
20181022,672
20181023,696
20181024,712
20181025,755
20181026,955
20181027,1114
20181028,919
20181029,606
20181030,684
20181031,1153
20181101,812
20181102,1013
20181103,1051
20181104,822
20181105,583
20181106,618
20181107,617
20181108,664
20181109,1055
20181110,1176
20181111,898
20181112,611
20181113,654
20181114,688
20181115,704
20181116,999
20181117,1162
20181118,902
20181119,683
20181120,734
20181121,741
20181122,806
20181123,1052
20181124,1269
20181125,975
20181126,597
20181127,675
20181128,718
20181129,652
20181130,1001
20181201,1285
20181202,921
20181203,619
20181204,686
20181205,758
20181206,746
20181207,981
20181208,1062
20181209,806
20181210,556
20181211,687
20181212,729
20181213,676
20181214,1052
20181215,1090
20181216,924
20181217,648
20181218,775
20181219,805
20181220,934
20181221,1061
20181222,1036
20181223,841
20181224,364
20181225,324
20181226,742
20181227,745
20181228,890
20181229,1046
20181230,770
20181231,353
20190101,723
20190102,743
20190103,771
20190104,913
20190105,1041
20190106,804
20190107,590
20190108,587
20190109,683
20190110,734
20190111,941
20190112,1166
20190113,878
20190114,632
20190115,674
20190116,672
20190117,767
20190118,957
20190119,1140
20190120,904
20190121,663
20190122,575
20190123,614
20190124,747
20190125,909
20190126,1196
20190127,840
20190128,626
20190129,648
20190130,562
20190131,656
20190201,735
20190202,1155
20190203,1027
20190204,720
20190205,667
20190206,744
20190207,743
20190208,473
20190209,1195
20190210,940
20190211,640
20190212,678
20190213,673
20190214,857
20190215,942
20190216,1091
20190217,991
20190218,671
20190219,669
20190220,849
20190221,878
20190222,996
20190223,1131
20190224,887
20190225,750
20190226,717
20190227,874
20190228,886
20190301,1016
20190302,1246
20190303,971
20190304,753
20190305,854
20190306,685
20190307,745
20190308,1064
20190309,1235
20190310,963
20190311,617
20190312,663
20190313,756
20190314,712
20190315,1023
20190316,1055
20190317,1057
20190318,665
20190319,699
20190320,746
20190321,801
20190322,1026
20190323,1133
20190324,1080
20190325,726
20190326,722
20190327,754
20190328,854
20190329,1013
20190330,1243
20190331,970
20190401,710
20190402,707
20190403,780
20190404,717
20190405,952
20190406,1184
20190407,940
20190408,623
20190409,697
20190410,635
20190411,811
20190412,978
20190413,1157
20190414,865
20190415,699
20190416,755
20190417,897
20190418,1053
20190419,1054
20190420,1171
20190421,514
20190422,849
20190423,760
20190424,912
20190425,877
20190426,940
20190427,1103
20190428,954
20190429,770
20190430,910
20190501,842
20190502,712
20190503,878
20190504,1224
20190505,844
20190506,701
20190507,660
20190508,715
20190509,713
20190510,1091
20190511,1265
20190512,977
20190513,726
20190514,761
20190515,736
20190516,978
20190517,1077
20190518,1248
20190519,851
20190520,677
20190521,794
20190522,698
20190523,812
20190524,1040
20190525,1258
20190526,914
20190527,857
20190528,775
20190529,903
20190530,847
20190531,1145
20190601,1268
20190602,874
20190603,731
20190604,753
20190605,723
20190606,718
20190607,1193
20190608,1164
20190609,950
20190610,788
20190611,749
20190612,791
20190613,814
20190614,1004
20190615,1119
20190616,995
20190617,577
20190618,718
20190619,841
20190620,967
20190621,1033
20190622,1018
20190623,910
20190624,797
20190625,770
20190626,903
20190627,849
20190628,975
20190629,1123
20190630,1113
20190701,874
20190702,797
20190703,881
20190704,882
20190705,1034
20190706,1194
20190707,1090
20190708,782
20190709,794
20190710,998
20190711,874
20190712,1058
20190713,1176
20190714,929
20190715,781
20190716,754
20190717,862
20190718,918
20190719,1009
20190720,1246
20190721,928
20190722,780
20190723,868
20190724,871
20190725,847
20190726,1126
20190727,1281
20190728,972
20190729,876
20190730,819
20190731,891
20190801,853
20190802,999
20190803,1109
20190804,932
20190805,743
20190806,765
20190807,771
20190808,801
20190809,948
20190810,962
20190811,793
20190812,773
20190813,734
20190814,840
20190815,665
20190816,881
20190817,982
20190818,782
20190819,778
20190820,785
20190821,842
20190822,826
20190823,782
20190824,1079
20190825,843
20190826,729
20190827,756
20190828,898
20190829,865
20190830,1127
20190831,1121
20190901,1100
20190902,835
20190903,872
20190904,854
20190905,857
20190906,1100
20190907,1150
20190908,1067
20190909,761
20190910,858
20190911,841
20190912,874
20190913,1125
20190914,1326
20190915,909
20190916,780
20190917,741
20190918,754
20190919,897
20190920,1159
20190921,1124
20190922,1082
20190923,690
20190924,693
20190925,781
20190926,756
20190927,1119
20190928,1268
20190929,912
20190930,797
20191001,727
20191002,800
20191003,777
20191004,991
20191005,1335
20191006,990
20191007,675
20191008,692
20191009,794
20191010,778
20191011,1028
20191012,1292
20191013,876
20191014,643
20191015,772
20191016,801
20191017,764
20191018,1008
20191019,1285
20191020,919
20191021,663
20191022,725
20191023,823
20191024,705
20191025,1048
20191026,1238
20191027,1108
20191028,691
20191029,669
20191030,782
20191031,1151
20191101,1035
20191102,1129
20191103,806
20191104,692
20191105,863
20191106,710
20191107,769
20191108,1013
20191109,1196
20191110,897
20191111,617
20191112,692
20191113,750
20191114,723
20191115,1050
20191116,1083
20191117,1002
20191118,734
20191119,774
20191120,843
20191121,867
20191122,1192
20191123,1192
20191124,997
20191125,631
20191126,694
20191127,727
20191128,757
20191129,1021
20191130,1203
20191201,974
20191202,641
20191203,685
20191204,712
20191205,721
20191206,1079
20191207,1134
20191208,909
20191209,663
20191210,898
20191211,819
20191212,851
20191213,1008
20191214,1172
20191215,990
20191216,754
20191217,887
20191218,856
20191219,983
20191220,1200
20191221,1166
20191222,1070
20191223,842
20191224,323
20191225,279
20191226,812
20191227,1010
20191228,1093
20191229,940
20191230,867
20191231,374
20200101,835
20200102,792
20200103,948
20200104,1102
20200105,966
20200106,738
20200107,576
20200108,651
20200109,664
20200110,998
20200111,1222
20200112,952
20200113,626
20200114,723
20200115,771
20200116,737
20200117,1083
20200118,1126
20200119,1019
20200120,694
20200121,668
20200122,762
20200123,859
20200124,999
20200125,1288
20200126,974
20200127,683
20200128,695
20200129,782
20200130,791
20200131,1073
20200201,1278
20200202,931
20200203,654
20200204,680
20200205,789
20200206,842
20200207,1026
20200208,1149
20200209,1034
20200210,678
20200211,734
20200212,752
20200213,799
20200214,1219
20200215,1180
20200216,1029
20200217,637
20200218,777
20200219,756
20200220,869
20200221,1034
20200222,944
20200223,660
20200224,536
20200225,498
20200226,551
20200227,598
20200228,817
20200229,1000
20200301,810
20200302,685
20200303,782
20200304,718
20200305,765
20200306,877
20200307,882
20200308,441
20200309,255
20200310,251
20200311,251
20200312,0
20200313,0
20200314,0
20200315,0
20200316,0
20200317,0
20200318,0
20200319,0
20200320,0
20200321,0
20200322,0
20200323,0
20200324,0
20200325,0
20200326,0
20200327,0
20200328,0
20200329,0
20200330,0
20200331,0
20200401,0
20200402,0
20200403,0
20200404,0
20200405,0
20200406,0
20200407,0
20200408,0
20200409,0
20200410,0
20200411,0
20200412,0
20200413,0
20200414,0
20200415,0
20200416,0
20200417,0
20200418,0
