Date,R000
20190924,473.0
20190925,494.0
20190926,493.0
20190927,806.0
20190928,1186.0
20190929,1071.0
20190930,447.0
20191001,457.0
20191002,461.0
20191003,511.0
20191004,731.0
20191005,1174.0
20191006,1075.0
20191007,471.0
20191008,467.0
20191009,520.0
20191010,532.0
20191011,832.0
20191012,1312.0
20191013,1101.0
20191014,471.0
20191015,572.0
20191016,571.0
20191017,533.0
20191018,843.0
20191019,1319.0
20191020,1235.0
20191021,398.0
20191022,546.0
20191023,524.0
20191024,524.0
20191025,876.0
20191026,1401.0
20191027,1153.0
20191028,512.0
20191029,502.0
20191030,570.0
20191031,1077.0
20191101,1027.0
20191102,1339.0
20191103,1209.0
20191104,511.0
20191105,518.0
20191106,505.0
20191107,532.0
20191108,841.0
20191109,1349.0
20191110,1260.0
20191111,456.0
20191112,499.0
20191113,531.0
20191114,512.0
20191115,807.0
20191116,1274.0
20191117,1300.0
20191118,510.0
20191119,502.0
20191120,579.0
20191121,603.0
20191122,864.0
20191123,1367.0
20191124,1277.0
20191125,494.0
20191126,473.0
20191127,556.0
20191128,534.0
20191129,948.0
20191130,412.0
20191201,1258.0
20191202,542.0
20191203,527.0
20191204,568.0
20191205,550.0
20191206,859.0
20191207,1250.0
20191208,1297.0
20191209,597.0
20191210,703.0
20191211,620.0
20191212,702.0
20191213,850.0
20191214,1457.0
20191215,1260.0
20191216,577.0
20191217,620.0
20191218,674.0
20191219,808.0
20191220,1005.0
20191221,1611.0
20191222,1496.0
20191223,951.0
20191224,554.0
20191225,340.0
20191226,976.0
20191227,1104.0
20191228,1521.0
20191229,1219.0
20191230,894.0
20191231,361.0
20200101,1056.0
20200102,969.0
20200103,945.0
20200104,1485.0
20200105,1411.0
20200106,765.0
20200107,465.0
20200108,448.0
20200109,466.0
20200110,801.0
20200111,1364.0
20200112,1169.0
20200113,435.0
20200114,473.0
20200115,492.0
20200116,539.0
20200117,779.0
20200118,1191.0
20200119,1237.0
20200120,458.0
20200121,440.0
20200122,519.0
20200123,590.0
20200124,741.0
20200125,1461.0
20200126,1148.0
20200127,443.0
20200128,476.0
20200129,507.0
20200130,522.0
20200131,838.0
20200201,1395.0
20200202,1291.0
20200203,475.0
20200204,491.0
20200205,548.0
20200206,517.0
20200207,761.0
20200208,1303.0
20200209,1170.0
20200210,463.0
20200211,495.0
20200212,560.0
20200213,540.0
20200214,966.0
20200215,1264.0
20200216,1205.0
20200217,524.0
20200218,450.0
20200219,492.0
20200220,549.0
20200221,779.0
20200222,1086.0
20200223,691.0
20200224,323.0
20200225,257.0
20200226,305.0
20200227,357.0
20200228,496.0
20200229,605.0
20200301,514.0
20200302,402.0
20200303,445.0
20200304,448.0
20200305,461.0
20200306,493.0
20200307,557.0
20200308,232.0
20200309,184.0
20200310,142.0
20200311,135.0
20200312,0.0
20200313,0.0
20200314,0.0
20200315,0.0
20200316,0.0
20200317,0.0
20200318,0.0
20200319,0.0
20200320,0.0
20200321,0.0
20200322,0.0
20200323,0.0
20200324,0.0
20200325,0.0
20200326,0.0
20200327,0.0
20200328,0.0
20200329,0.0
20200330,0.0
20200331,0.0
20200401,0.0
20200402,0.0
20200403,0.0
20200404,0.0
20200405,0.0
20200406,0.0
20200407,0.0
20200408,0.0
20200409,0.0
20200410,0.0
20200411,0.0
20200412,0.0
20200413,0.0
20200414,0.0
20200415,0.0
20200416,0.0
20200417,0.0
20200418,0.0
20200419,0.0
20200420,0.0
20200421,0.0
20200422,0.0
20200423,0.0
20200424,0.0
20200425,0.0
20200426,0.0
20200427,0.0
20200428,0.0
20200429,0.0
20200430,0.0
20200501,0.0
20200502,0.0
20200503,0.0
20200504,0.0
20200505,0.0
20200506,0.0
20200507,181.0
20200508,239.0
20200509,296.0
20200510,209.0
20200511,237.0
20200512,200.0
20200513,228.0
20200514,241.0
20200515,290.0
20200516,315.0
20200517,273.0
20200518,285.0
20200519,311.0
20200520,297.0
20200521,323.0
20200522,287.0
20200523,458.0
20200524,457.0
20200525,326.0
20200526,321.0
20200527,307.0
20200528,329.0
20200529,367.0
20200530,497.0
20200531,490.0
20200601,420.0
20200602,376.0
20200603,357.0
20200604,371.0
20200605,384.0
20200606,568.0
20200607,571.0
20200608,376.0
20200609,355.0
20200610,384.0
20200611,427.0
20200612,430.0
20200613,525.0
20200614,477.0
20200615,364.0
20200616,350.0
20200617,374.0
20200618,371.0
20200619,424.0
20200620,485.0
20200621,467.0
20200622,296.0
20200623,347.0
20200624,383.0
20200625,412.0
20200626,422.0
20200627,501.0
20200628,518.0
20200629,379.0
20200630,373.0
20200701,398.0
20200702,397.0
20200703,434.0
20200704,525.0
20200705,465.0
20200706,413.0
20200707,379.0
20200708,387.0
20200709,338.0
20200710,426.0
20200711,565.0
20200712,554.0
20200713,386.0
20200714,392.0
20200715,422.0
20200716,427.0
20200717,432.0
20200718,576.0
20200719,511.0
20200720,355.0
20200721,393.0
20200722,422.0
20200723,400.0
20200724,450.0
20200725,579.0
20200726,505.0
20200727,389.0
20200728,332.0
20200729,394.0
20200730,369.0
20200731,444.0
20200801,518.0
20200802,629.0
20200803,504.0
20200804,493.0
20200805,415.0
20200806,416.0
20200807,441.0
20200808,547.0
20200809,507.0
20200810,409.0
20200811,397.0
20200812,416.0
20200813,442.0
20200814,477.0
20200815,188.0
20200816,528.0
20200817,427.0
20200818,427.0
20200819,422.0
20200820,420.0
20200821,409.0
20200822,557.0
20200823,530.0
20200824,436.0
20200825,415.0
20200826,413.0
20200827,452.0
20200828,515.0
20200829,726.0
20200830,693.0
20200831,505.0
20200901,461.0
20200902,535.0
20200903,504.0
20200904,562.0
20200905,658.0
20200906,658.0
20200907,501.0
20200908,525.0
20200909,471.0
20200910,500.0
20200911,594.0
20200912,730.0
20200913,584.0
20200914,443.0
20200915,584.0
20200916,411.0
20200917,386.0
20200918,541.0
20200919,702.0
20200920,689.0
20200921,485.0
20200922,399.0
20200923,451.0
20200924,440.0
20200925,543.0
20200926,777.0
20200927,711.0
20200928,433.0
20200929,421.0
20200930,443.0
20201001,436.0
20201002,580.0
20201003,760.0
20201004,647.0
20201005,381.0
20201006,367.0
20201007,429.0
20201008,412.0
20201009,558.0
20201010,767.0
20201011,637.0
20201012,383.0
20201013,362.0
20201014,410.0
20201015,405.0
20201016,540.0
20201017,709.0
20201018,692.0
20201019,348.0
20201020,380.0
20201021,350.0
20201022,466.0
20201023,494.0
20201024,439.0
20201025,362.0
20201026,320.0
20201027,352.0
20201028,347.0
20201029,378.0
20201030,475.0
20201031,406.0
20201101,341.0
20201102,377.0
20201103,320.0
20201104,417.0
20201105,445.0
20201106,168.0
20201107,130.0
20201108,103.0
20201109,202.0
20201110,188.0
20201111,200.0
20201112,211.0
20201113,251.0
20201114,230.0
20201115,165.0
20201116,228.0
20201117,219.0
20201118,227.0
20201119,226.0
20201120,273.0
20201121,271.0
20201122,189.0
20201123,238.0
20201124,243.0
20201125,251.0
20201126,261.0
20201127,302.0
20201128,305.0
20201129,299.0
20201130,342.0
20201201,330.0
20201202,308.0
20201203,345.0
20201204,224.0
20201205,312.0
20201206,312.0
20201207,395.0
20201208,208.0
20201209,386.0
20201210,384.0
20201211,420.0
20201212,375.0
20201213,512.0
20201214,445.0
20201215,472.0
20201216,483.0
20201217,489.0
20201218,679.0
20201219,536.0
20201220,426.0
20201221,492.0
20201222,529.0
20201223,592.0
20201224,75.0
20201225,0.0
20201226,0.0
20201227,180.0
20201228,305.0
20201229,445.0
20201230,505.0
20201231,87.0
20210101,0.0
20210102,258.0
20210103,200.0
20210104,521.0
20210105,235.0
20210106,0.0
20210107,470.0
20210108,522.0
20210109,333.0
20210110,244.0
20210111,339.0
20210112,341.0
20210113,334.0
20210114,359.0
20210115,415.0
20210116,412.0
20210117,157.0
20210118,214.0
20210119,202.0
20210120,256.0
20210121,238.0
20210122,291.0
20210123,281.0
20210124,337.0
20210125,361.0
20210126,373.0
20210127,349.0
20210128,373.0
20210129,477.0
20210130,376.0
20210131,372.0
20210201,382.0
20210202,377.0
20210203,399.0
20210204,393.0
20210205,446.0
20210206,533.0
20210207,430.0
20210208,315.0
20210209,389.0
20210210,383.0
20210211,400.0
20210212,482.0
20210213,496.0
20210214,498.0
20210215,530.0
20210216,437.0
20210217,370.0
20210218,331.0
20210219,443.0
20210220,518.0
20210221,431.0
20210222,350.0
20210223,354.0
20210224,350.0
20210225,395.0
20210226,509.0
20210227,499.0
20210228,468.0
20210301,294.0
20210302,305.0
20210303,314.0
20210304,376.0
20210305,354.0
20210306,275.0
20210307,234.0
20210308,243.0
20210309,291.0
20210310,342.0
20210311,334.0
20210312,415.0
20210313,343.0
20210314,310.0
20210315,190.0
20210316,229.0
20210317,236.0
20210318,250.0
20210319,297.0
20210320,272.0
20210321,219.0
20210322,236.0
20210323,261.0
20210324,247.0
20210325,271.0
20210326,332.0
20210327,317.0
20210328,209.0
20210329,282.0
20210330,269.0
20210331,344.0
20210401,337.0
20210402,365.0
20210403,293.0
20210404,0.0
20210405,0.0
20210406,304.0
20210407,300.0
20210408,348.0
20210409,361.0
20210410,391.0
20210411,289.0
20210412,416.0
20210413,378.0
20210414,396.0
20210415,382.0
20210416,466.0
20210417,528.0
20210418,446.0
20210419,399.0
20210420,401.0
20210421,389.0
20210422,399.0
20210423,519.0
20210424,528.0
20210425,444.0
20210426,439.0
20210427,419.0
20210428,414.0
20210429,424.0
20210430,519.0
20210501,444.0
20210502,490.0
20210503,391.0
20210504,374.0
20210505,389.0
20210506,407.0
20210507,479.0
20210508,512.0
20210509,461.0
20210510,379.0
20210511,387.0
20210512,382.0
20210513,419.0
20210514,527.0
20210515,488.0
20210516,488.0
20210517,411.0
20210518,438.0
20210519,417.0
20210520,433.0
20210521,544.0
20210522,686.0
20210523,603.0
20210524,421.0
20210525,367.0
20210526,380.0
20210527,418.0
20210528,478.0
20210529,654.0
20210530,612.0
20210531,375.0
20210601,434.0
20210602,574.0
20210603,415.0
20210604,458.0
20210605,624.0
20210606,616.0
20210607,404.0
20210608,547.0
20210609,482.0
20210610,435.0
20210611,479.0
20210612,634.0
20210613,546.0
20210614,443.0
20210615,472.0
20210616,455.0
20210617,470.0
20210618,534.0
20210619,617.0
20210620,607.0
20210621,480.0
20210622,424.0
20210623,510.0
20210624,467.0
20210625,546.0
20210626,616.0
20210627,548.0
20210628,462.0
20210629,448.0
20210630,471.0
20210701,490.0
20210702,479.0
20210703,719.0
20210704,826.0
20210705,544.0
20210706,427.0
20210707,513.0
20210708,510.0
20210709,625.0
20210710,673.0
20210711,533.0
20210712,579.0
20210713,613.0
20210714,556.0
20210715,564.0
20210716,622.0
20210717,751.0
20210718,678.0
20210719,502.0
20210720,487.0
20210721,538.0
20210722,515.0
20210723,576.0
20210724,710.0
20210725,704.0
20210726,474.0
20210727,550.0
20210728,548.0
20210729,497.0
20210730,582.0
20210731,633.0
20210801,667.0
20210802,461.0
20210803,471.0
20210804,613.0
20210805,524.0
20210806,465.0
20210807,531.0
20210808,506.0
20210809,422.0
20210810,460.0
20210811,396.0
20210812,490.0
20210813,536.0
20210814,519.0
20210815,0.0
20210816,474.0
20210817,506.0
20210818,508.0
20210819,500.0
20210820,474.0
20210821,549.0
20210822,526.0
20210823,489.0
20210824,524.0
20210825,494.0
20210826,429.0
20210827,594.0
20210828,683.0
20210829,594.0
20210830,476.0
20210831,558.0
20210901,560.0
20210902,580.0
20210903,555.0
20210904,652.0
20210905,649.0
20210906,462.0
20210907,505.0
20210908,512.0
20210909,497.0
20210910,553.0
20210911,666.0
20210912,574.0
20210913,500.0
20210914,398.0
20210915,417.0
20210916,504.0
20210917,591.0
20210918,734.0
20210919,718.0
20210920,591.0
20210921,417.0
20210922,392.0
20210923,515.0
20210924,557.0
20210925,759.0
20210926,680.0
20210927,427.0
20210928,418.0
20210929,428.0
20210930,434.0
20211001,582.0
20211002,719.0
20211003,716.0
20211004,383.0
20211005,441.0
20211006,454.0
20211007,430.0
20211008,539.0
20211009,794.0
20211010,678.0
20211011,384.0
20211012,409.0
20211013,420.0
20211014,472.0
20211015,671.0
20211016,810.0
20211017,719.0
20211018,399.0
20211019,412.0
20211020,435.0
20211021,383.0
20211022,576.0
20211023,720.0
20211024,696.0
20211025,441.0
20211026,418.0
20211027,437.0
20211028,422.0
20211029,638.0
